Michael Bennet|November 28 1964|New Delhi, India|U.S. Senator from Colorado (2009–present)|May 2, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Michael_Bennet_Official_Photo_%28cropped%29.jpg/123px-Michael_Bennet_Official_Photo_%28cropped%29.jpg|Colorado
Joe Biden|November 20 1942|Scranton, Pennsylvania|Vice President of the United States (2009–2017)|April 25, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Joe_Biden_2013.jpg/117px-Joe_Biden_2013.jpg|Delaware
Cory Booker|April 27 1969|Washington, D.C.|U.S. Senator from New Jersey (2013–present)|February 1, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg/131px-Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg|New Jersey
Steve Bullock|April 11 1966|Missoula, Montana|	Governor of Montana (2013–present)|May 14, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Montana_Governor_Steve_Bullock_%2828963844060%29_%28cropped%29_%28cropped%29.jpg/122px-Montana_Governor_Steve_Bullock_%2828963844060%29_%28cropped%29_%28cropped%29.jpg|Montana
Pete Buttigieg|January 19, 1982|South Bend, Indiana| Mayor of South Bend, Indiana (2012–present)|April 14, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Pete_Buttigieg_in_February_2019.jpg/120px-Pete_Buttigieg_in_February_2019.jpg|Indiana
Julian Castro|September16, 1974|San Antonio, Texas|U.S. Secretary of Housing and Urban Development (2014–2017)|January 12, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Juli%C3%A1n_Castro%27s_Official_HUD_Portrait_%28cropped%29.jpg/113px-Juli%C3%A1n_Castro%27s_Official_HUD_Portrait_%28cropped%29.jpg|Texas
Bill de Blasio|May 8, 1961|Manhattan, New York|Mayor of New York City, New York (2014–present)|May 16, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Bill_de_Blasio_11-2-2013.jpg/119px-Bill_de_Blasio_11-2-2013.jpg|New York
John Delaney|April 16, 1963|Wood-Ridge, New Jersey|U.S. Representative from MD-06 (2013–2019)|July 28, 2017|https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/John_Delaney_113th_Congress_official_photo_%28cropped%29_2.jpg/122px-John_Delaney_113th_Congress_official_photo_%28cropped%29_2.jpg|Maryland
Tulsi Gabbard|April 12, 1981|Leloaloa, American Samoa|U.S. Representative from HI-02 (2013–present)|January 11, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Tulsi_Gabbard%2C_official_portrait%2C_113th_Congress_%28cropped_3%29.jpg/122px-Tulsi_Gabbard%2C_official_portrait%2C_113th_Congress_%28cropped_3%29.jpg|Hawaii
Kirsten Gillibrand|	December 9, 1966|Albany, New York	|U.S. Senator from New York (2009–present)|March 17, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Kirsten_Gillibrand%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/109px-Kirsten_Gillibrand%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg|New York
Mike Gravel|May 13, 1930|Springfield, Massachusetts|U.S. Senator from Alaska (1969–1981)|April 8, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Mike_Gravel_cropped.png/112px-Mike_Gravel_cropped.png|California
Kamala Harris|October 20, 1964|Oakland, California|U.S. Senator from California (2017–present)|January 21, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Kamala_Harris_official_photo_%28cropped%29.jpg/118px-Kamala_Harris_official_photo_%28cropped%29.jpg|California
John Hickenlooper|February 7, 1952|Narberth, Pennsylvania|Governor of Colorado (2011–2019)|March 4, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/John_Hickenlooper_by_Gage_Skidmore.jpg/119px-John_Hickenlooper_by_Gage_Skidmore.jpg|Colorado
Jay Inslee|February 9, 1951|Seattle, Washington|Governor of Washington (2013–present)|March 1, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Jay_Inslee_official_portrait_%28cropped_2%29.jpg/123px-Jay_Inslee_official_portrait_%28cropped_2%29.jpg|Washington
Amy Klobuchar|May 25, 1960|Plymouth, Minnesota	|U.S. Senator from Minnesota (2007–present)|February 10, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped_2%29.jpg/124px-Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped_2%29.jpg|Minnesota
Wayne Messam|June 7, 1974|South Bay, Florida|Mayor of Miramar, Florida (2015–present)|March 28, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Mayor_Messam.jpg/128px-Mayor_Messam.jpg|Florida
Seth Moulton|October 24, 1978|Salem, Massachusetts|U.S. Representative from MA-06 (2015–present)|April 22, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Seth_Moulton_%28cropped_2%29.jpg/118px-Seth_Moulton_%28cropped_2%29.jpg|Massachusetts
Beto O'Rourke|September 26, 1972|El Paso, Texas|U.S. Representative from TX-16 (2013–2019)|March 14, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Beto_O%27Rourke%2C_Official_portrait%2C_113th_Congress_%28cropped_3%29.jpg/123px-Beto_O%27Rourke%2C_Official_portrait%2C_113th_Congress_%28cropped_3%29.jpg|Texas
Tim Ryan|July 16, 1973|Niles, Ohio	U.S. Representative from OH-13 (2013–present)|April 4, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Rep._Tim_Ryan_Congressional_Head_Shot_2010_%28cropped_3%29.jpg/114px-Rep._Tim_Ryan_Congressional_Head_Shot_2010_%28cropped_3%29.jpg|Ohio
Bernie Sanders|September 8, 1941|Brooklyn, New York|	U.S. Senator from Vermont (2007–present)|February 19, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Bernie_Sanders.jpg/126px-Bernie_Sanders.jpg|Vermont
Eric Swalwell|November 16, 1980|Sac City, Iowa|U.S. Representative from CA-15 (2013–present)|April 8, 2019|https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Eric_Swalwell_114th_official_photo_%28cropped%29.jpg/112px-Eric_Swalwell_114th_official_photo_%28cropped%29.jpg|California
Elizabeth Warren|June 22, 1949|Oklahoma City, Oklahoma|U.S. Senator from Massachusetts (2013–present)|February 9, 2019|https://en.wikipedia.org/wiki/File:Elizabeth_Warren,_official_portrait,_114th_Congress_(cropped)(2).jpg|Massachusetts
Marianne Williamson|July 8, 1952|Houston, Texas|Author, lecturer, and activist|January 28, 2019|https://en.wikipedia.org/wiki/File:Marianne_Williamson_-_33252886458_(cropped).jpg|California
Andrew Yang|January 13, 1975|Schenectady, New York	Entrepreneur, philanthropist, and founder of Venture for America|November 6, 2017|https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Andrew_Yang_talking_about_urban_entrepreneurship_at_Techonomy_Conference_2015_in_Detroit%2C_MI_%28cropped%29.jpg/111px-Andrew_Yang_talking_about_urban_entrepreneurship_at_Techonomy_Conference_2015_in_Detroit%2C_MI_%28cropped%29.jpg|New York